,team,date,points,RW,ROW,SOW,goals,goals_against,power_play,penalty_kill,net_ppp,net_pkp,shots,shots_against,FOWp
1130,New Jersey Devils,2012/04/29@ PHI,0,0,0,0,3,4,33.3,83.3,33.3,83.3,26.0,36.0,44.9
1131,Philadelphia Flyers,2012/04/29vs NJD,2,0,1,0,4,3,16.7,66.7,16.7,66.7,36.0,26.0,55.1
1132,Nashville Predators,2012/04/29@ PHX,0,0,0,0,3,5,100.0,100.0,100.0,100.0,33.0,39.0,52.1
1133,Phoenix Coyotes,2012/04/29vs NSH,2,1,1,0,5,3,0.0,0.0,0.0,0.0,39.0,33.0,48.0
1134,New York Rangers,2012/04/30vs WSH,0,0,0,0,2,3,33.3,66.7,33.3,66.7,28.0,25.0,50.0
1135,Washington Capitals,2012/04/30@ NYR,2,1,1,0,3,2,33.3,66.7,33.3,66.7,25.0,28.0,50.0
1136,St. Louis Blues,2012/04/30vs LAK,0,0,0,0,2,5,0.0,100.0,-11.1,100.0,29.0,21.0,50.7
1137,Los Angeles Kings,2012/04/30@ STL,2,1,1,0,5,2,0.0,100.0,0.0,111.1,21.0,29.0,49.3
1138,New Jersey Devils,2012/05/01@ PHI,2,1,1,0,4,1,0.0,100.0,0.0,120.0,35.0,20.0,50.9
1139,Philadelphia Flyers,2012/05/01vs NJD,0,0,0,0,1,4,0.0,100.0,-20.0,100.0,20.0,35.0,49.1
1140,New York Rangers,2012/05/02@ WSH,2,0,1,0,2,1,25.0,100.0,25.0,100.0,49.0,46.0,48.9
1141,Washington Capitals,2012/05/02vs NYR,0,0,0,0,1,2,0.0,75.0,0.0,75.0,46.0,49.0,51.1
1142,Nashville Predators,2012/05/02vs PHX,2,1,1,0,2,0,0.0,100.0,0.0,100.0,26.0,32.0,51.7
1143,Phoenix Coyotes,2012/05/02@ NSH,0,0,0,0,0,2,0.0,100.0,0.0,100.0,32.0,26.0,48.3
1144,New Jersey Devils,2012/05/03vs PHI,2,0,1,0,4,3,50.0,80.0,50.0,80.0,31.0,28.0,49.2
1145,Philadelphia Flyers,2012/05/03@ NJD,0,0,0,0,3,4,20.0,50.0,20.0,50.0,28.0,31.0,50.8
1146,St. Louis Blues,2012/05/03@ LAK,0,0,0,0,2,4,0.0,80.0,0.0,80.0,20.0,22.0,54.6
1147,Los Angeles Kings,2012/05/03vs STL,2,1,1,0,4,2,20.0,100.0,20.0,100.0,22.0,20.0,45.5
1148,Nashville Predators,2012/05/04vs PHX,0,0,0,0,0,1,0.0,100.0,0.0,100.0,25.0,24.0,50.9
1149,Phoenix Coyotes,2012/05/04@ NSH,2,1,1,0,1,0,0.0,100.0,0.0,100.0,24.0,25.0,49.2
1150,New York Rangers,2012/05/05@ WSH,0,0,0,0,2,3,0.0,50.0,0.0,50.0,20.0,26.0,45.5
1151,Washington Capitals,2012/05/05vs NYR,2,1,1,0,3,2,50.0,100.0,50.0,100.0,26.0,20.0,54.6
1152,New Jersey Devils,2012/05/06vs PHI,2,1,1,0,4,2,20.0,50.0,0.0,50.0,43.0,22.0,37.5
1153,Philadelphia Flyers,2012/05/06@ NJD,0,0,0,0,2,4,50.0,80.0,50.0,100.0,22.0,43.0,62.5
1154,St. Louis Blues,2012/05/06@ LAK,0,0,0,0,1,3,0.0,100.0,0.0,100.0,24.0,19.0,48.2
1155,Los Angeles Kings,2012/05/06vs STL,2,1,1,0,3,1,0.0,100.0,0.0,100.0,19.0,24.0,51.9
1156,New York Rangers,2012/05/07vs WSH,2,0,1,0,3,2,40.0,75.0,40.0,75.0,38.0,18.0,57.1
1157,Washington Capitals,2012/05/07@ NYR,0,0,0,0,2,3,25.0,60.0,25.0,60.0,18.0,38.0,42.9
1158,Nashville Predators,2012/05/07@ PHX,0,0,0,0,1,2,0.0,100.0,0.0,100.0,33.0,17.0,45.5
1159,Phoenix Coyotes,2012/05/07vs NSH,2,1,1,0,2,1,0.0,100.0,0.0,100.0,17.0,33.0,54.6
1160,New Jersey Devils,2012/05/08@ PHI,2,1,1,0,3,1,25.0,100.0,25.0,100.0,30.0,28.0,55.0
1161,Philadelphia Flyers,2012/05/08vs NJD,0,0,0,0,1,3,0.0,75.0,0.0,75.0,28.0,30.0,45.0
1162,New York Rangers,2012/05/09@ WSH,0,0,0,0,1,2,0.0,66.7,0.0,66.7,31.0,23.0,41.5
1163,Washington Capitals,2012/05/09vs NYR,2,1,1,0,2,1,33.3,100.0,33.3,100.0,23.0,31.0,58.5
1164,New York Rangers,2012/05/12vs WSH,2,1,1,0,2,1,0.0,100.0,0.0,100.0,31.0,23.0,54.0
1165,Washington Capitals,2012/05/12@ NYR,0,0,0,0,1,2,0.0,100.0,0.0,100.0,23.0,31.0,46.0
1166,Los Angeles Kings,2012/05/13@ PHX,2,1,1,0,4,2,0.0,100.0,0.0,100.0,48.0,27.0,57.1
1167,Phoenix Coyotes,2012/05/13vs LAK,0,0,0,0,2,4,0.0,100.0,0.0,100.0,27.0,48.0,42.9
1168,New Jersey Devils,2012/05/14@ NYR,0,0,0,0,0,3,0.0,75.0,0.0,75.0,21.0,28.0,41.0
1169,New York Rangers,2012/05/14vs NJD,2,1,1,0,3,0,25.0,100.0,25.0,100.0,28.0,21.0,59.0
1170,Los Angeles Kings,2012/05/15@ PHX,2,1,1,0,4,0,25.0,100.0,25.0,100.0,40.0,24.0,40.6
1171,Phoenix Coyotes,2012/05/15vs LAK,0,0,0,0,0,4,0.0,75.0,0.0,75.0,24.0,40.0,59.4
1172,New Jersey Devils,2012/05/16@ NYR,2,1,1,0,3,2,33.3,50.0,33.3,50.0,27.0,25.0,54.2
1173,New York Rangers,2012/05/16vs NJD,0,0,0,0,2,3,50.0,66.7,50.0,66.7,25.0,27.0,45.8
1174,Los Angeles Kings,2012/05/17vs PHX,2,1,1,0,2,1,0.0,100.0,0.0,100.0,28.0,19.0,37.0
1175,Phoenix Coyotes,2012/05/17@ LAK,0,0,0,0,1,2,0.0,100.0,0.0,100.0,19.0,28.0,63.0
1176,New Jersey Devils,2012/05/19vs NYR,0,0,0,0,0,3,0.0,50.0,0.0,50.0,36.0,22.0,54.8
1177,New York Rangers,2012/05/19@ NJD,2,1,1,0,3,0,50.0,100.0,50.0,100.0,22.0,36.0,45.2
1178,Los Angeles Kings,2012/05/20vs PHX,0,0,0,0,0,2,0.0,66.7,0.0,66.7,36.0,21.0,55.9
1179,Phoenix Coyotes,2012/05/20@ LAK,2,1,1,0,2,0,33.3,100.0,33.3,100.0,21.0,36.0,44.1
1180,New Jersey Devils,2012/05/21vs NYR,2,1,1,0,4,1,16.7,100.0,16.7,100.0,30.0,29.0,52.4
