,team,date,points,RW,ROW,SOW,goals,goals_against,power_play,penalty_kill,net_ppp,net_pkp,shots,shots_against,FOWp
1374,Tampa Bay Lightning,2014/04/16vs MTL,0,0,0,0,4,5,0.0,100.0,-50.0,100.0,25.0,44.0,58.1
1375,Anaheim Ducks,2014/04/16vs DAL,2,1,1,0,4,3,40.0,80.0,40.0,80.0,35.0,35.0,55.4
1376,Dallas Stars,2014/04/16@ ANA,0,0,0,0,3,4,20.0,60.0,20.0,60.0,35.0,35.0,44.6
1377,Columbus Blue Jackets,2014/04/16@ PIT,0,0,0,0,3,4,25.0,33.3,25.0,66.7,34.0,32.0,43.7
1378,New York Rangers,2014/04/17vs PHI,2,1,1,0,4,1,33.3,100.0,33.3,100.0,36.0,15.0,53.1
1379,Philadelphia Flyers,2014/04/17@ NYR,0,0,0,0,1,4,0.0,66.7,0.0,66.7,15.0,36.0,46.9
1380,Chicago Blackhawks,2014/04/17@ STL,0,0,0,0,3,4,16.7,100.0,16.7,100.0,42.0,52.0,56.9
1381,St. Louis Blues,2014/04/17vs CHI,2,0,1,0,4,3,0.0,83.3,0.0,83.3,52.0,42.0,43.1
1382,Colorado Avalanche,2014/04/17vs MIN,2,0,1,0,5,4,0.0,50.0,0.0,50.0,31.0,33.0,45.5
1383,Los Angeles Kings,2014/04/17@ SJS,0,0,0,0,3,6,0.0,66.7,0.0,66.7,34.0,33.0,51.5
1384,San Jose Sharks,2014/04/17vs LAK,2,1,1,0,6,3,33.3,100.0,33.3,100.0,33.0,34.0,48.5
1385,Minnesota Wild,2014/04/17@ COL,0,0,0,0,4,5,50.0,100.0,50.0,100.0,33.0,31.0,54.6
1386,Boston Bruins,2014/04/18vs DET,0,0,0,0,0,1,0.0,100.0,0.0,100.0,25.0,24.0,45.5
1387,Montréal Canadiens,2014/04/18@ TBL,2,1,1,0,4,1,25.0,50.0,25.0,50.0,26.0,27.0,53.9
1388,Tampa Bay Lightning,2014/04/18vs MTL,0,0,0,0,1,4,50.0,75.0,50.0,75.0,27.0,26.0,46.2
1389,Detroit Red Wings,2014/04/18@ BOS,2,1,1,0,1,0,0.0,100.0,0.0,100.0,24.0,25.0,54.6
1390,Anaheim Ducks,2014/04/18vs DAL,2,1,1,0,3,2,0.0,83.3,0.0,100.0,19.0,36.0,49.2
1391,Dallas Stars,2014/04/18@ ANA,0,0,0,0,2,3,16.7,100.0,0.0,100.0,36.0,19.0,50.8
1392,Pittsburgh Penguins,2014/04/19vs CBJ,0,0,0,0,3,4,12.5,66.7,0.0,83.3,42.0,45.0,43.4
1393,Chicago Blackhawks,2014/04/19@ STL,0,0,0,0,3,4,0.0,88.9,0.0,88.9,28.0,31.0,51.4
1394,St. Louis Blues,2014/04/19vs CHI,2,0,1,0,4,3,11.1,100.0,11.1,100.0,31.0,28.0,48.6
1395,Colorado Avalanche,2014/04/19vs MIN,2,1,1,0,4,2,33.3,100.0,0.0,100.0,29.0,32.0,47.8
1396,Columbus Blue Jackets,2014/04/19@ PIT,2,0,1,0,4,3,33.3,87.5,16.7,100.0,45.0,42.0,56.6
1397,Minnesota Wild,2014/04/19@ COL,0,0,0,0,2,4,0.0,66.7,0.0,100.0,32.0,29.0,52.2
1398,New York Rangers,2014/04/20vs PHI,0,0,0,0,2,4,16.7,33.3,16.7,33.3,33.0,25.0,54.4
1399,Philadelphia Flyers,2014/04/20@ NYR,2,1,1,0,4,2,66.7,83.3,66.7,83.3,25.0,33.0,45.6
1400,Boston Bruins,2014/04/20vs DET,2,1,1,0,4,1,50.0,100.0,50.0,100.0,29.0,35.0,56.5
1401,Montréal Canadiens,2014/04/20vs TBL,2,1,1,0,3,2,0.0,50.0,0.0,50.0,31.0,29.0,48.5
1402,Tampa Bay Lightning,2014/04/20@ MTL,0,0,0,0,2,3,50.0,100.0,50.0,100.0,29.0,31.0,51.5
1403,Detroit Red Wings,2014/04/20@ BOS,0,0,0,0,1,4,0.0,50.0,0.0,50.0,35.0,29.0,43.6
1404,Los Angeles Kings,2014/04/20@ SJS,0,0,0,0,2,7,0.0,83.3,0.0,83.3,26.0,40.0,53.9
1405,San Jose Sharks,2014/04/20vs LAK,2,1,1,0,7,2,16.7,100.0,16.7,100.0,40.0,26.0,46.2
1406,Pittsburgh Penguins,2014/04/21@ CBJ,2,1,1,0,4,3,0.0,100.0,0.0,100.0,41.0,20.0,43.1
1407,Chicago Blackhawks,2014/04/21vs STL,2,1,1,0,2,0,0.0,100.0,0.0,100.0,25.0,34.0,59.1
1408,St. Louis Blues,2014/04/21@ CHI,0,0,0,0,0,2,0.0,100.0,0.0,100.0,34.0,25.0,40.9
1409,Colorado Avalanche,2014/04/21@ MIN,0,0,0,0,0,1,0.0,100.0,0.0,100.0,22.0,46.0,47.1
1410,Anaheim Ducks,2014/04/21@ DAL,0,0,0,0,0,3,0.0,100.0,0.0,100.0,37.0,22.0,38.0
1411,Dallas Stars,2014/04/21vs ANA,2,1,1,0,3,0,0.0,100.0,0.0,100.0,22.0,37.0,62.0
1412,Columbus Blue Jackets,2014/04/21vs PIT,0,0,0,0,3,4,0.0,100.0,0.0,100.0,20.0,41.0,56.9
1413,Minnesota Wild,2014/04/21vs COL,2,0,1,0,1,0,0.0,100.0,0.0,100.0,46.0,22.0,52.9
1414,New York Rangers,2014/04/22@ PHI,2,1,1,0,4,1,0.0,100.0,0.0,100.0,23.0,32.0,45.9
1415,Philadelphia Flyers,2014/04/22vs NYR,0,0,0,0,1,4,0.0,100.0,0.0,100.0,32.0,23.0,54.1
1416,Boston Bruins,2014/04/22@ DET,2,1,1,0,3,0,33.3,100.0,33.3,100.0,34.0,23.0,55.4
1417,Montréal Canadiens,2014/04/22vs TBL,2,1,1,0,4,3,50.0,100.0,0.0,100.0,37.0,23.0,54.2
1418,Tampa Bay Lightning,2014/04/22@ MTL,0,0,0,0,3,4,0.0,50.0,0.0,100.0,23.0,37.0,45.8
1419,Detroit Red Wings,2014/04/22vs BOS,0,0,0,0,0,3,0.0,66.7,0.0,66.7,23.0,34.0,44.6
1420,Los Angeles Kings,2014/04/22vs SJS,0,0,0,0,3,4,50.0,75.0,50.0,75.0,31.0,40.0,50.7
1421,San Jose Sharks,2014/04/22@ LAK,2,0,1,0,4,3,25.0,50.0,25.0,50.0,40.0,31.0,49.3
1422,Pittsburgh Penguins,2014/04/23@ CBJ,0,0,0,0,3,4,25.0,66.7,25.0,83.3,25.0,46.0,42.7
1423,Chicago Blackhawks,2014/04/23vs STL,2,0,1,0,4,3,50.0,80.0,50.0,80.0,34.0,33.0,52.4
1424,St. Louis Blues,2014/04/23@ CHI,0,0,0,0,3,4,20.0,50.0,20.0,50.0,33.0,34.0,47.6
1425,Anaheim Ducks,2014/04/23@ DAL,0,0,0,0,2,4,0.0,100.0,0.0,100.0,23.0,26.0,43.3
1426,Dallas Stars,2014/04/23vs ANA,2,1,1,0,4,2,0.0,100.0,0.0,100.0,26.0,23.0,56.7
1427,Columbus Blue Jackets,2014/04/23vs PIT,2,0,1,0,4,3,33.3,75.0,16.7,75.0,46.0,25.0,57.4
1428,Boston Bruins,2014/04/24@ DET,2,0,1,0,3,2,50.0,75.0,50.0,75.0,40.0,37.0,54.2
1429,Detroit Red Wings,2014/04/24vs BOS,0,0,0,0,2,3,25.0,50.0,25.0,50.0,37.0,40.0,45.8
1430,Colorado Avalanche,2014/04/24@ MIN,0,0,0,0,1,2,0.0,75.0,0.0,75.0,12.0,32.0,43.6
1431,Los Angeles Kings,2014/04/24vs SJS,2,1,1,0,6,3,20.0,75.0,20.0,75.0,31.0,39.0,45.6
1432,San Jose Sharks,2014/04/24@ LAK,0,0,0,0,3,6,25.0,80.0,25.0,80.0,39.0,31.0,54.4
1433,Minnesota Wild,2014/04/24vs COL,2,1,1,0,2,1,25.0,100.0,25.0,100.0,32.0,12.0,56.5
1434,New York Rangers,2014/04/25@ PHI,0,0,0,0,1,2,0.0,50.0,0.0,50.0,38.0,25.0,42.6
1435,Philadelphia Flyers,2014/04/25vs NYR,2,1,1,0,2,1,50.0,100.0,50.0,100.0,25.0,38.0,57.4
1436,Chicago Blackhawks,2014/04/25@ STL,2,0,1,0,3,2,0.0,100.0,0.0,100.0,30.0,29.0,47.0
1437,St. Louis Blues,2014/04/25vs CHI,0,0,0,0,2,3,0.0,100.0,0.0,100.0,29.0,30.0,53.0
1438,Anaheim Ducks,2014/04/25vs DAL,2,1,1,0,6,2,66.7,100.0,50.0,100.0,23.0,36.0,52.4
1439,Dallas Stars,2014/04/25@ ANA,0,0,0,0,2,6,0.0,33.3,0.0,50.0,36.0,23.0,47.6
1440,Pittsburgh Penguins,2014/04/26vs CBJ,2,1,1,0,3,1,25.0,50.0,25.0,50.0,51.0,24.0,57.4
1441,Boston Bruins,2014/04/26vs DET,2,1,1,0,4,2,33.3,85.7,33.3,85.7,33.0,33.0,54.0
1442,Detroit Red Wings,2014/04/26@ BOS,0,0,0,0,2,4,14.3,66.7,14.3,66.7,33.0,33.0,46.0
1443,Colorado Avalanche,2014/04/26vs MIN,2,0,1,0,4,3,0.0,100.0,0.0,133.3,35.0,32.0,47.5
1444,Los Angeles Kings,2014/04/26@ SJS,2,1,1,0,3,0,25.0,100.0,25.0,100.0,41.0,30.0,51.9
1445,San Jose Sharks,2014/04/26vs LAK,0,0,0,0,0,3,0.0,75.0,0.0,75.0,30.0,41.0,48.1
1446,Columbus Blue Jackets,2014/04/26@ PIT,0,0,0,0,1,3,50.0,75.0,50.0,75.0,24.0,51.0,42.6
1447,Minnesota Wild,2014/04/26@ COL,0,0,0,0,3,4,0.0,100.0,-33.3,100.0,32.0,35.0,52.5
1448,New York Rangers,2014/04/27vs PHI,2,1,1,0,4,2,0.0,80.0,0.0,80.0,22.0,26.0,37.3
1449,Philadelphia Flyers,2014/04/27@ NYR,0,0,0,0,2,4,20.0,100.0,20.0,100.0,26.0,22.0,62.7
1450,Chicago Blackhawks,2014/04/27vs STL,2,1,1,0,5,1,50.0,100.0,50.0,100.0,27.0,36.0,50.7
1451,St. Louis Blues,2014/04/27@ CHI,0,0,0,0,1,5,0.0,50.0,0.0,50.0,36.0,27.0,49.3
1452,Anaheim Ducks,2014/04/27@ DAL,2,0,1,0,5,4,25.0,80.0,25.0,80.0,30.0,24.0,50.6
1453,Dallas Stars,2014/04/27vs ANA,0,0,0,0,4,5,20.0,75.0,20.0,75.0,24.0,30.0,49.4
1454,Pittsburgh Penguins,2014/04/28@ CBJ,2,1,1,0,4,3,25.0,80.0,0.0,80.0,28.0,27.0,49.2
1455,Colorado Avalanche,2014/04/28@ MIN,0,0,0,0,2,5,25.0,66.7,25.0,100.0,23.0,23.0,46.6
1456,Los Angeles Kings,2014/04/28vs SJS,2,1,1,0,4,1,25.0,100.0,25.0,100.0,30.0,26.0,41.1
1457,San Jose Sharks,2014/04/28@ LAK,0,0,0,0,1,4,0.0,75.0,0.0,75.0,26.0,30.0,58.9
1458,Columbus Blue Jackets,2014/04/28vs PIT,0,0,0,0,3,4,20.0,75.0,20.0,100.0,27.0,28.0,50.9
1459,Minnesota Wild,2014/04/28vs COL,2,1,1,0,5,2,33.3,75.0,0.0,75.0,23.0,23.0,53.4
1460,New York Rangers,2014/04/29@ PHI,0,0,0,0,2,5,0.0,33.3,0.0,33.3,36.0,29.0,53.2
1461,Philadelphia Flyers,2014/04/29vs NYR,2,1,1,0,5,2,66.7,100.0,66.7,100.0,29.0,36.0,46.8
1462,New York Rangers,2014/04/30vs PHI,2,1,1,0,2,1,0.0,100.0,0.0,100.0,33.0,27.0,51.5
1463,Philadelphia Flyers,2014/04/30@ NYR,0,0,0,0,1,2,0.0,100.0,0.0,100.0,27.0,33.0,48.5
1464,Colorado Avalanche,2014/04/30vs MIN,0,0,0,0,4,5,33.3,100.0,33.3,100.0,22.0,35.0,46.7
1465,Los Angeles Kings,2014/04/30@ SJS,2,1,1,0,5,1,33.3,100.0,33.3,100.0,30.0,40.0,55.8
1466,San Jose Sharks,2014/04/30vs LAK,0,0,0,0,1,5,0.0,66.7,0.0,66.7,40.0,30.0,44.2
1467,Minnesota Wild,2014/04/30@ COL,2,0,1,0,5,4,0.0,66.7,0.0,66.7,35.0,22.0,53.3
1468,Boston Bruins,2014/05/01vs MTL,0,0,0,0,3,4,0.0,33.3,0.0,33.3,51.0,33.0,58.0
1469,Montréal Canadiens,2014/05/01@ BOS,2,0,1,0,4,3,66.7,100.0,66.7,100.0,33.0,51.0,42.1
1470,New York Rangers,2014/05/02@ PIT,2,0,1,0,3,2,0.0,100.0,0.0,100.0,27.0,36.0,52.2
1471,Pittsburgh Penguins,2014/05/02vs NYR,0,0,0,0,2,3,0.0,100.0,0.0,100.0,36.0,27.0,47.8
1472,Chicago Blackhawks,2014/05/02vs MIN,2,1,1,0,5,2,50.0,100.0,50.0,100.0,22.0,32.0,55.2
1473,Minnesota Wild,2014/05/02@ CHI,0,0,0,0,2,5,0.0,50.0,0.0,50.0,32.0,22.0,44.8
1474,Boston Bruins,2014/05/03vs MTL,2,1,1,0,5,3,0.0,66.7,0.0,66.7,35.0,28.0,54.4
1475,Montréal Canadiens,2014/05/03@ BOS,0,0,0,0,3,5,33.3,100.0,33.3,100.0,28.0,35.0,45.6
1476,Anaheim Ducks,2014/05/03vs LAK,0,0,0,0,2,3,0.0,75.0,0.0,75.0,35.0,36.0,46.0
1477,Los Angeles Kings,2014/05/03@ ANA,2,0,1,0,3,2,25.0,100.0,25.0,100.0,36.0,35.0,54.1
1478,New York Rangers,2014/05/04@ PIT,0,0,0,0,0,3,0.0,66.7,0.0,66.7,22.0,35.0,47.0
1479,Pittsburgh Penguins,2014/05/04vs NYR,2,1,1,0,3,0,33.3,100.0,33.3,100.0,35.0,22.0,53.0
1480,Chicago Blackhawks,2014/05/04vs MIN,2,1,1,0,4,1,0.0,100.0,0.0,100.0,22.0,19.0,49.1
1481,Minnesota Wild,2014/05/04@ CHI,0,0,0,0,1,4,0.0,100.0,0.0,100.0,19.0,22.0,50.9
1482,New York Rangers,2014/05/05vs PIT,0,0,0,0,0,2,0.0,100.0,0.0,100.0,35.0,15.0,44.1
1483,Pittsburgh Penguins,2014/05/05@ NYR,2,1,1,0,2,0,0.0,100.0,0.0,100.0,15.0,35.0,55.9
1484,Anaheim Ducks,2014/05/05vs LAK,0,0,0,0,1,3,25.0,100.0,25.0,100.0,37.0,17.0,54.1
1485,Los Angeles Kings,2014/05/05@ ANA,2,1,1,0,3,1,0.0,75.0,0.0,75.0,17.0,37.0,45.9
1486,Boston Bruins,2014/05/06@ MTL,0,0,0,0,2,4,0.0,100.0,0.0,100.0,28.0,26.0,50.0
1487,Montréal Canadiens,2014/05/06vs BOS,2,1,1,0,4,2,0.0,100.0,0.0,100.0,26.0,28.0,50.0
1488,Chicago Blackhawks,2014/05/06@ MIN,0,0,0,0,0,4,0.0,75.0,0.0,75.0,19.0,18.0,46.6
1489,Minnesota Wild,2014/05/06vs CHI,2,1,1,0,4,0,25.0,100.0,25.0,100.0,18.0,19.0,53.5
1490,New York Rangers,2014/05/07vs PIT,0,0,0,0,2,4,0.0,100.0,-50.0,100.0,15.0,27.0,36.7
1491,Pittsburgh Penguins,2014/05/07@ NYR,2,1,1,0,4,2,0.0,100.0,0.0,150.0,27.0,15.0,63.3
1492,Boston Bruins,2014/05/08@ MTL,2,0,1,0,1,0,0.0,100.0,0.0,100.0,35.0,33.0,48.7
1493,Montréal Canadiens,2014/05/08vs BOS,0,0,0,0,0,1,0.0,100.0,0.0,100.0,33.0,35.0,51.4
1494,Anaheim Ducks,2014/05/08@ LAK,2,1,1,0,3,2,100.0,0.0,100.0,0.0,22.0,31.0,41.2
1495,Los Angeles Kings,2014/05/08vs ANA,0,0,0,0,2,3,100.0,0.0,100.0,0.0,31.0,22.0,58.8
1496,New York Rangers,2014/05/09@ PIT,2,1,1,0,5,1,66.7,100.0,66.7,100.0,35.0,32.0,40.3
1497,Pittsburgh Penguins,2014/05/09vs NYR,0,0,0,0,1,5,0.0,33.3,0.0,33.3,32.0,35.0,59.7
1498,Chicago Blackhawks,2014/05/09@ MIN,0,0,0,0,2,4,0.0,80.0,0.0,80.0,20.0,31.0,42.4
1499,Minnesota Wild,2014/05/09vs CHI,2,1,1,0,4,2,20.0,100.0,20.0,100.0,31.0,20.0,57.6
1500,Boston Bruins,2014/05/10vs MTL,2,1,1,0,4,2,50.0,60.0,50.0,60.0,30.0,31.0,53.7
1501,Montréal Canadiens,2014/05/10@ BOS,0,0,0,0,2,4,40.0,50.0,40.0,50.0,31.0,30.0,46.3
1502,Anaheim Ducks,2014/05/10@ LAK,2,1,1,0,2,0,33.3,100.0,33.3,100.0,14.0,28.0,53.0
1503,Los Angeles Kings,2014/05/10vs ANA,0,0,0,0,0,2,0.0,66.7,0.0,66.7,28.0,14.0,47.0
1504,New York Rangers,2014/05/11vs PIT,2,1,1,0,3,1,0.0,100.0,0.0,100.0,29.0,37.0,42.6
1505,Pittsburgh Penguins,2014/05/11@ NYR,0,0,0,0,1,3,0.0,100.0,0.0,100.0,37.0,29.0,57.4
1506,Chicago Blackhawks,2014/05/11vs MIN,2,1,1,0,2,1,50.0,100.0,50.0,100.0,28.0,28.0,56.7
1507,Minnesota Wild,2014/05/11@ CHI,0,0,0,0,1,2,0.0,50.0,0.0,50.0,28.0,28.0,43.3
1508,Boston Bruins,2014/05/12@ MTL,0,0,0,0,0,4,0.0,75.0,0.0,75.0,26.0,28.0,47.5
1509,Montréal Canadiens,2014/05/12vs BOS,2,1,1,0,4,0,25.0,100.0,25.0,100.0,28.0,26.0,52.5
1510,Anaheim Ducks,2014/05/12vs LAK,2,1,1,0,4,3,33.3,66.7,33.3,66.7,24.0,42.0,42.1
1511,Los Angeles Kings,2014/05/12@ ANA,0,0,0,0,3,4,33.3,66.7,33.3,66.7,42.0,24.0,57.9
1512,New York Rangers,2014/05/13@ PIT,2,1,1,0,2,1,50.0,100.0,50.0,100.0,20.0,36.0,44.9
1513,Pittsburgh Penguins,2014/05/13vs NYR,0,0,0,0,1,2,0.0,50.0,0.0,50.0,36.0,20.0,55.1
1514,Chicago Blackhawks,2014/05/13@ MIN,2,0,1,0,2,1,0.0,100.0,0.0,100.0,27.0,35.0,41.8
1515,Minnesota Wild,2014/05/13vs CHI,0,0,0,0,1,2,0.0,100.0,0.0,100.0,35.0,27.0,58.2
1516,Boston Bruins,2014/05/14vs MTL,0,0,0,0,1,3,33.3,80.0,33.3,80.0,30.0,18.0,59.2
1517,Montréal Canadiens,2014/05/14@ BOS,2,1,1,0,3,1,20.0,66.7,20.0,66.7,18.0,30.0,40.9
1518,Anaheim Ducks,2014/05/14@ LAK,0,0,0,0,1,2,0.0,100.0,0.0,100.0,22.0,23.0,40.3
1519,Los Angeles Kings,2014/05/14vs ANA,2,1,1,0,2,1,0.0,100.0,0.0,100.0,23.0,22.0,59.7
1520,Anaheim Ducks,2014/05/16vs LAK,0,0,0,0,2,6,0.0,60.0,0.0,60.0,27.0,30.0,39.1
1521,Los Angeles Kings,2014/05/16@ ANA,2,1,1,0,6,2,40.0,100.0,40.0,100.0,30.0,27.0,60.9
1522,New York Rangers,2014/05/17@ MTL,2,1,1,0,7,2,42.9,100.0,28.6,100.0,28.0,22.0,51.4
1523,Montréal Canadiens,2014/05/17vs NYR,0,0,0,0,2,7,0.0,57.1,0.0,71.4,22.0,28.0,48.6
1524,Chicago Blackhawks,2014/05/18vs LAK,2,1,1,0,3,1,50.0,100.0,50.0,100.0,20.0,26.0,50.0
1525,Los Angeles Kings,2014/05/18@ CHI,0,0,0,0,1,3,0.0,50.0,0.0,50.0,26.0,20.0,50.0
1526,New York Rangers,2014/05/19@ MTL,2,1,1,0,3,1,33.3,100.0,33.3,100.0,30.0,41.0,45.8
1527,Montréal Canadiens,2014/05/19vs NYR,0,0,0,0,1,3,0.0,66.7,0.0,66.7,41.0,30.0,54.2
1528,Chicago Blackhawks,2014/05/21vs LAK,0,0,0,0,2,6,25.0,50.0,25.0,50.0,25.0,31.0,38.6
1529,Los Angeles Kings,2014/05/21@ CHI,2,1,1,0,6,2,50.0,75.0,50.0,75.0,31.0,25.0,61.4
1530,New York Rangers,2014/05/22vs MTL,0,0,0,0,2,3,0.0,100.0,0.0,100.0,37.0,25.0,50.0
1531,Montréal Canadiens,2014/05/22@ NYR,2,0,1,0,3,2,0.0,100.0,0.0,100.0,25.0,37.0,50.0
1532,Chicago Blackhawks,2014/05/24@ LAK,0,0,0,0,3,4,0.0,66.7,0.0,100.0,27.0,32.0,47.4
1533,Los Angeles Kings,2014/05/24vs CHI,2,1,1,0,4,3,33.3,100.0,0.0,100.0,32.0,27.0,52.6
1534,New York Rangers,2014/05/25vs MTL,2,0,1,0,3,2,0.0,87.5,0.0,100.0,29.0,29.0,60.8
1535,Montréal Canadiens,2014/05/25@ NYR,0,0,0,0,2,3,12.5,100.0,0.0,100.0,29.0,29.0,39.2
1536,Chicago Blackhawks,2014/05/26@ LAK,0,0,0,0,2,5,0.0,33.3,0.0,33.3,24.0,21.0,42.1
1537,Los Angeles Kings,2014/05/26vs CHI,2,1,1,0,5,2,66.7,100.0,66.7,100.0,21.0,24.0,57.9
1538,New York Rangers,2014/05/27@ MTL,0,0,0,0,4,7,14.3,75.0,14.3,75.0,27.0,28.0,47.8
1539,Montréal Canadiens,2014/05/27vs NYR,2,1,1,0,7,4,25.0,85.7,25.0,85.7,28.0,27.0,52.2
1540,Chicago Blackhawks,2014/05/28vs LAK,2,0,1,0,5,4,25.0,100.0,25.0,100.0,45.0,44.0,46.0
1541,Los Angeles Kings,2014/05/28@ CHI,0,0,0,0,4,5,0.0,75.0,0.0,75.0,44.0,45.0,54.1
1542,New York Rangers,2014/05/29vs MTL,2,1,1,0,1,0,0.0,100.0,0.0,100.0,32.0,18.0,39.3
1543,Montréal Canadiens,2014/05/29@ NYR,0,0,0,0,0,1,0.0,100.0,0.0,100.0,18.0,32.0,60.7
1544,Chicago Blackhawks,2014/05/30@ LAK,2,1,1,0,4,3,50.0,50.0,50.0,50.0,25.0,29.0,50.8
1545,Los Angeles Kings,2014/05/30vs CHI,0,0,0,0,3,4,50.0,50.0,50.0,50.0,29.0,25.0,49.2
1546,Chicago Blackhawks,2014/06/01vs LAK,0,0,0,0,4,5,40.0,100.0,40.0,100.0,41.0,32.0,52.6
1547,Los Angeles Kings,2014/06/01@ CHI,2,0,1,0,5,4,0.0,60.0,0.0,60.0,32.0,41.0,47.4
1548,New York Rangers,2014/06/04@ LAK,0,0,0,0,2,3,0.0,100.0,0.0,125.0,27.0,43.0,49.1
1549,Los Angeles Kings,2014/06/04vs NYR,2,0,1,0,3,2,0.0,100.0,-25.0,100.0,43.0,27.0,50.9
1550,New York Rangers,2014/06/07@ LAK,0,0,0,0,4,5,20.0,75.0,20.0,75.0,38.0,44.0,49.1
1551,Los Angeles Kings,2014/06/07vs NYR,2,0,1,0,5,4,25.0,80.0,25.0,80.0,44.0,38.0,50.9
1552,New York Rangers,2014/06/09vs LAK,0,0,0,0,0,3,0.0,75.0,0.0,75.0,32.0,15.0,47.9
1553,Los Angeles Kings,2014/06/09@ NYR,2,1,1,0,3,0,25.0,100.0,25.0,100.0,15.0,32.0,52.1
1554,New York Rangers,2014/06/11vs LAK,2,1,1,0,2,1,0.0,100.0,0.0,100.0,19.0,41.0,36.9
1555,Los Angeles Kings,2014/06/11@ NYR,0,0,0,0,1,2,0.0,100.0,0.0,100.0,41.0,19.0,63.1
1556,New York Rangers,2014/06/13@ LAK,0,0,0,0,2,3,20.0,75.0,20.0,100.0,30.0,51.0,49.5
1557,Los Angeles Kings,2014/06/13vs NYR,2,0,1,0,3,2,25.0,80.0,0.0,80.0,51.0,30.0,50.5
1558,New York Islanders,2015/04/15@ WSH,2,1,1,0,4,1,0.0,100.0,0.0,100.0,27.0,25.0,37.1
1559,Montréal Canadiens,2015/04/15vs OTT,2,1,1,0,4,3,0.0,60.0,0.0,80.0,39.0,33.0,50.7
1560,Ottawa Senators,2015/04/15@ MTL,0,0,0,0,3,4,40.0,100.0,20.0,100.0,33.0,39.0,49.4
1561,Washington Capitals,2015/04/15vs NYI,0,0,0,0,1,4,0.0,100.0,0.0,100.0,25.0,27.0,62.9
1562,Chicago Blackhawks,2015/04/15@ NSH,2,0,1,0,4,3,33.3,83.3,33.3,83.3,42.0,54.0,38.6
1563,Nashville Predators,2015/04/15vs CHI,0,0,0,0,3,4,16.7,66.7,16.7,66.7,54.0,42.0,61.4
1564,Calgary Flames,2015/04/15@ VAN,2,1,1,0,2,1,0.0,100.0,0.0,100.0,30.0,30.0,45.8
1565,Vancouver Canucks,2015/04/15vs CGY,0,0,0,0,1,2,0.0,100.0,0.0,100.0,30.0,30.0,54.2
1566,New York Rangers,2015/04/16vs PIT,2,1,1,0,2,1,20.0,100.0,20.0,100.0,38.0,25.0,42.4
1567,Pittsburgh Penguins,2015/04/16@ NYR,0,0,0,0,1,2,0.0,80.0,0.0,80.0,25.0,38.0,57.6
1568,Tampa Bay Lightning,2015/04/16vs DET,0,0,0,0,2,3,0.0,66.7,-14.3,100.0,46.0,14.0,58.7
1569,Detroit Red Wings,2015/04/16@ TBL,2,1,1,0,3,2,33.3,100.0,0.0,114.3,14.0,46.0,41.3
1570,St. Louis Blues,2015/04/16vs MIN,0,0,0,0,2,4,0.0,50.0,0.0,75.0,21.0,29.0,58.1
1571,Anaheim Ducks,2015/04/16vs WPG,2,1,1,0,4,2,66.7,100.0,66.7,100.0,33.0,27.0,62.5
1572,Minnesota Wild,2015/04/16@ STL,2,1,1,0,4,2,50.0,100.0,25.0,100.0,29.0,21.0,41.9
1573,Winnipeg Jets,2015/04/16@ ANA,0,0,0,0,2,4,0.0,33.3,0.0,33.3,27.0,33.0,37.5
1574,New York Islanders,2015/04/17@ WSH,0,0,0,0,3,4,0.0,0.0,0.0,0.0,21.0,35.0,49.1
1575,Montréal Canadiens,2015/04/17vs OTT,2,0,1,0,3,2,16.7,66.7,16.7,66.7,42.0,31.0,53.0
1576,Ottawa Senators,2015/04/17@ MTL,0,0,0,0,2,3,33.3,83.3,33.3,83.3,31.0,42.0,47.0
1577,Washington Capitals,2015/04/17vs NYI,2,1,1,0,4,3,100.0,100.0,100.0,100.0,35.0,21.0,50.9
1578,Chicago Blackhawks,2015/04/17@ NSH,0,0,0,0,2,6,0.0,75.0,0.0,75.0,26.0,35.0,51.2
1579,Nashville Predators,2015/04/17vs CHI,2,1,1,0,6,2,25.0,100.0,25.0,100.0,35.0,26.0,48.8
1580,Calgary Flames,2015/04/17@ VAN,0,0,0,0,1,4,50.0,75.0,50.0,75.0,23.0,32.0,50.0
1581,Vancouver Canucks,2015/04/17vs CGY,2,1,1,0,4,1,25.0,50.0,25.0,50.0,32.0,23.0,50.0
1582,New York Rangers,2015/04/18vs PIT,0,0,0,0,3,4,14.3,50.0,14.3,50.0,26.0,22.0,50.0
1583,Pittsburgh Penguins,2015/04/18@ NYR,2,1,1,0,4,3,50.0,85.7,50.0,85.7,22.0,26.0,50.0
1584,Tampa Bay Lightning,2015/04/18vs DET,2,1,1,0,5,1,50.0,100.0,50.0,100.0,30.0,24.0,44.2
1585,Detroit Red Wings,2015/04/18@ TBL,0,0,0,0,1,5,0.0,50.0,0.0,50.0,24.0,30.0,55.8
1586,St. Louis Blues,2015/04/18vs MIN,2,1,1,0,4,1,33.3,100.0,33.3,100.0,27.0,25.0,57.8
1587,Anaheim Ducks,2015/04/18vs WPG,2,1,1,0,2,1,25.0,100.0,25.0,100.0,39.0,29.0,52.5
1588,Minnesota Wild,2015/04/18@ STL,0,0,0,0,1,4,0.0,66.7,0.0,66.7,25.0,27.0,42.3
